Label;# Samples;Average;Min;Max;Std. Dev.;Error %;Throughput;Received KB/sec;Sent KB/sec;Avg. Bytes
Thread Group:1 Main;200;8867;337;27618;5563,48;0,00%;6,78541;104,2;2,42;15724,9
Thread Group:2 end-of-the-work;200;7203;561;11753;1993;0,00%;5,52914;101,77;1,11;18847
Thread Group:3 epam-sytems;200;7284;412;10778;1822,02;0,00%;4,80989;76,62;0,94;16311
Thread Group:4 hello-world;200;7315;321;22836;2386,65;0,00%;3,58783;76,47;0,7;21824
Thread Group:5 author/siarheituzhyk;200;8131;2213;23323;3163,56;0,00%;3,16351;48,56;0;15719
Thread Group:6 2016/11/22/;200;7221;4179;23294;2395,27;0,00%;2,98507;38,94;0,55;13358
Thread Group:7 category/epam/;200;7208;5292;10777;812,41;0,00%;2,87443;37,82;0,54;13472
Thread Group:8 hello-world/#comment-1;200;8364;1141;22623;1451,44;0,00%;3,16356;67,42;0,62;21824
Thread Group:9 epam-sytems;200;6645;468;9463;1698,82;0,00%;3,62345;57,72;0,71;16311
Thread Group:10 Main;200;5382;56;21761;2636,26;0,00%;4,04613;61,16;0,7;15478
TOTAL;2000;7362;56;27618;2840,02;0,00%;24,90908;410,78;4,7;16886,9
